Tip Matrice,Nr threads,Timp executie
N=M=10,n=m=3,secvential,0.26149
N=M=1000,n=m=5,secvential,287.42867
N=10,M=10000,n=m=5,secvential,60.8293
N=10000,M=10,n=m=5,secvential,29.73435

N=M=10,n=m=3,4,0.65718

N=M=1000,n=m=5,2,80.21299
N=M=1000,n=m=5,4,80.06231
N=M=1000,n=m=5,8,117.63077
N=M=1000,n=m=5,16,106.0487

N=10,M=10000,n=m=5,2,54.97932
N=10,M=10000,4,58.5998
N=10,M=10000,8,56.2583
N=10,M=10000,16,62.38531

N=10000,M=10,2,19.15796
N=10000,M=10,4,20.70613
N=10000,M=10,8,19.62505
N=10000,M=10,16,21.96222
